日期,时间,温度,湿度,光照强度,电压
2004/2/28,10:29:17,23.732,30.6071,507.84,2.7244
2004/2/28,10:29:47,23.732,30.6071,507.84,2.73696
2004/2/28,10:30:17,23.7418,30.5717,507.84,2.73696
2004/2/28,10:32:17,23.8104,30.5363,507.84,2.73696
2004/2/28,10:35:18,23.8496,30.5363,456.32,2.73696
2004/2/28,10:36:16,23.9084,30.4655,478.4,2.73696
2004/2/28,10:37:17,23.9182,30.4655,478.4,2.73696
2004/2/28,10:37:47,23.9084,30.4301,478.4,2.73696
2004/2/28,10:38:17,23.9182,30.3947,478.4,2.73696
2004/2/28,10:38:47,23.9378,30.3947,478.4,2.73696
2004/2/28,10:39:46,23.9574,30.3947,478.4,2.73696
2004/2/28,10:41:16,23.9672,30.3947,478.4,2.7244
2004/2/28,10:42:47,23.9868,30.3947,456.32,2.73696
2004/2/28,10:45:47,24.0064,30.3947,478.4,2.73696
2004/2/28,10:46:18,24.0162,30.3238,507.84,2.73696
2004/2/28,10:50:47,24.1142,30.2529,507.84,2.73696
2004/2/28,10:51:48,24.1436,30.2529,507.84,2.73696
2004/2/28,10:53:18,24.1828,30.1465,507.84,2.74963
2004/2/28,10:53:48,24.1828,30.182,507.84,2.73696
2004/2/28,10:55:47,24.0848,30.3238,507.84,2.73696
2004/2/28,10:57:17,24.2122,30.2529,507.84,2.73696
2004/2/28,10:58:47,24.2808,30.1111,507.84,2.73696
2004/2/28,11:02:18,24.32,30.0401,507.84,2.74963
2004/2/28,11:02:47,24.3004,30.1111,507.84,2.74963
2004/2/28,11:03:17,24.3102,30.1111,507.84,2.73696
2004/2/28,11:04:47,24.3984,30.2175,478.4,2.73696
2004/2/28,11:06:46,24.4572,30.1111,507.84,2.74963
2004/2/28,11:07:48,24.4866,30.0401,478.4,2.73696
2004/2/28,11:08:17,24.4376,30.0401,478.4,2.73696
2004/2/28,11:08:48,24.3984,30.0046,478.4,2.73696
2004/2/28,11:09:47,24.3886,30.0046,478.4,2.74963
2004/2/28,11:10:18,24.4082,30.0401,478.4,2.73696
2004/2/28,11:10:47,24.3984,30.182,478.4,2.74963
2004/2/28,11:11:17,24.418,30.0401,478.4,2.73696
2004/2/28,11:12:48,24.2612,30.3238,507.84,2.74963
2004/2/28,11:13:47,24.3494,30.2884,478.4,2.74963
2004/2/28,11:15:48,24.5062,30.0401,507.84,2.73696
2004/2/28,11:16:18,24.5356,30.0401,507.84,2.74963
2004/2/28,11:19:17,24.5748,30.0046,478.4,2.73696
2004/2/28,11:22:48,24.5552,30.0401,456.32,2.73696
2004/2/28,11:24:17,24.4376,30.2884,478.4,2.74963
2004/2/28,11:25:17,24.4474,30.3238,478.4,2.73696
2004/2/28,11:27:16,24.4572,30.2175,507.84,2.73696
2004/2/28,11:28:47,24.4474,30.3592,478.4,2.74963
2004/2/28,11:30:19,24.4572,30.2529,478.4,2.73696
2004/2/28,11:31:46,24.3886,30.6071,478.4,2.73696
2004/2/28,11:33:16,24.3494,30.4655,507.84,2.74963
2004/2/28,11:34:17,24.3004,30.5363,478.4,2.74963
2004/2/28,11:34:48,24.3102,30.5009,456.32,2.73696
2004/2/28,11:35:17,24.2808,30.6071,478.4,2.74963
2004/2/28,11:36:18,24.2024,30.6779,478.4,2.74963
2004/2/28,11:37:16,24.222,30.8194,478.4,2.74963
2004/2/28,11:38:48,24.2808,30.6779,507.84,2.74963
2004/2/28,11:39:18,24.2416,30.7486,507.84,2.73696
2004/2/28,11:40:48,24.3102,30.6071,478.4,2.73696
2004/2/28,11:41:17,24.3494,30.6071,456.32,2.74963
2004/2/28,11:41:48,24.3298,30.6779,456.32,2.73696
2004/2/28,11:42:18,24.3788,30.5363,456.32,2.73696
2004/2/28,11:43:16,24.3592,30.5717,441.6,2.74963
2004/2/28,11:43:47,24.3788,30.6071,456.32,2.74963
2004/2/28,11:45:47,24.3886,30.6071,478.4,2.74963
2004/2/28,11:46:18,24.3788,30.6779,478.4,2.74963
2004/2/28,11:47:18,24.3984,30.6071,478.4,2.74963
2004/2/28,11:47:48,24.3984,30.6779,478.4,2.74963
2004/2/28,11:48:47,24.418,30.5363,456.32,2.73696
2004/2/28,11:49:18,24.4376,30.5363,478.4,2.74963
2004/2/28,11:52:48,24.5258,30.4655,478.4,2.74963
2004/2/28,11:53:18,24.5258,30.5363,478.4,2.74963
2004/2/28,11:54:49,24.5944,30.3238,478.4,2.74963
2004/2/28,11:55:17,24.614,30.2529,478.4,2.74963
2004/2/28,11:55:48,24.614,30.2529,456.32,2.74963
2004/2/28,11:56:47,24.6434,30.182,478.4,2.74963
2004/2/28,11:57:17,24.663,30.182,456.32,2.74963
2004/2/28,11:57:49,24.6532,30.182,441.6,2.74963
2004/2/28,11:58:49,24.6532,30.182,456.32,2.74963
2004/2/28,11:59:47,24.614,30.2529,441.6,2.74963
2004/2/28,12:00:48,24.6336,30.2529,456.32,2.74963
2004/2/28,12:01:47,24.6238,30.2175,456.32,2.74963
2004/2/28,12:02:17,24.6042,30.3947,456.32,2.73696
2004/2/28,12:04:17,24.5748,30.3947,441.6,2.74963
2004/2/28,12:04:47,24.565,30.3947,456.32,2.74963
2004/2/28,12:05:17,24.5356,30.5009,456.32,2.73696
2004/2/28,12:06:47,24.5258,30.4655,441.6,2.74963
2004/2/28,12:07:16,24.5552,30.4655,426.88,2.74963
2004/2/28,12:08:47,24.4572,30.6779,412.16,2.74963
2004/2/28,12:09:19,24.4964,30.5363,412.16,2.74963
2004/2/28,12:09:48,24.5454,30.4655,426.88,2.74963
2004/2/28,12:10:17,24.5748,30.4301,412.16,2.73696
2004/2/28,12:10:46,24.5944,30.4655,426.88,2.73696
2004/2/28,12:11:18,24.614,30.3947,412.16,2.73696
2004/2/28,12:12:17,24.6042,30.5363,426.88,2.74963
2004/2/28,12:13:47,24.6434,30.3947,441.6,2.74963
2004/2/28,12:15:17,24.6336,30.3238,441.6,2.73696
2004/2/28,12:16:18,24.6532,30.3238,456.32,2.74963
2004/2/28,12:16:47,24.663,30.2529,456.32,2.74963
2004/2/28,12:19:47,24.7414,30.182,426.88,2.74963
2004/2/28,12:21:17,24.6826,30.3238,441.6,2.74963
2004/2/28,12:22:18,24.712,30.2529,441.6,2.74963
2004/2/28,12:22:48,24.6728,30.2529,441.6,2.73696
2004/2/28,12:25:17,24.5944,30.3238,456.32,2.74963
2004/2/28,12:26:48,24.5552,30.5363,441.6,2.74963
2004/2/28,12:27:19,24.565,30.5363,441.6,2.74963
2004/2/28,12:27:49,24.5552,30.4655,441.6,2.74963
2004/2/28,12:29:18,24.5944,30.5363,441.6,2.74963
2004/2/28,12:30:47,24.6336,30.5363,441.6,2.73696
2004/2/28,12:32:19,24.6728,30.4655,426.88,2.74963
2004/2/28,12:33:17,24.7022,30.4655,426.88,2.74963
2004/2/28,12:33:48,24.712,30.4655,426.88,2.74963
2004/2/28,12:34:18,24.7022,30.5009,426.88,2.74963
2004/2/28,12:35:16,24.761,30.3947,426.88,2.74963
2004/2/28,12:35:47,24.7904,30.3947,426.88,2.74963
2004/2/28,12:36:18,24.7806,30.3238,426.88,2.74963
2004/2/28,12:36:47,24.7904,30.3238,412.16,2.74963
2004/2/28,12:37:17,24.81,30.3238,426.88,2.73696
2004/2/28,12:37:48,24.7806,30.3947,426.88,2.74963
2004/2/28,12:39:17,24.712,30.5363,426.88,2.74963
2004/2/28,12:40:19,24.7512,30.5363,441.6,2.74963
2004/2/28,12:40:48,24.7512,30.5009,441.6,2.74963
2004/2/28,12:41:18,24.7708,30.5363,441.6,2.74963
2004/2/28,12:42:18,24.7904,30.4655,441.6,2.74963
2004/2/28,12:43:47,24.7708,30.4655,412.16,2.74963
2004/2/28,12:44:49,24.663,30.7486,426.88,2.73696
2004/2/28,12:45:48,24.6826,30.5363,426.88,2.74963
2004/2/28,12:46:18,24.6728,30.6071,426.88,2.74963
2004/2/28,12:47:17,24.6434,30.5717,426.88,2.74963
2004/2/28,12:47:49,24.6238,30.6779,426.88,2.74963
2004/2/28,12:49:18,24.614,30.784,426.88,2.74963
2004/2/28,12:49:48,24.6532,30.7133,426.88,2.74963
2004/2/28,12:50:48,24.712,30.5009,426.88,2.74963
2004/2/28,12:51:18,24.7512,30.4655,426.88,2.74963
2004/2/28,12:54:48,24.7512,30.6779,412.16,2.74963
2004/2/28,12:55:17,24.7316,30.5363,412.16,2.74963
2004/2/28,12:56:18,24.7316,30.5363,426.88,2.74963
2004/2/28,12:59:17,24.7218,30.784,441.6,2.74963
2004/2/28,13:00:17,24.7316,30.8194,441.6,2.74963
2004/2/28,13:02:18,24.7218,30.6779,441.6,2.73696
2004/2/28,13:05:48,24.7414,30.6425,441.6,2.74963
2004/2/28,13:06:17,24.7904,30.5363,441.6,2.74963
2004/2/28,13:10:47,24.7512,30.5363,397.44,2.74963
2004/2/28,13:12:49,24.81,30.5363,412.16,2.74963
2004/2/28,13:14:18,24.7806,30.4655,397.44,2.74963
2004/2/28,13:15:48,24.859,30.5363,412.16,2.74963
2004/2/28,13:16:18,24.859,30.4655,412.16,2.74963
2004/2/28,13:16:50,24.8492,30.4301,412.16,2.76242
2004/2/28,13:17:18,24.8296,30.5363,412.16,2.74963
2004/2/28,13:18:17,24.7512,30.5363,412.16,2.74963
2004/2/28,13:18:49,24.7316,30.6779,412.16,2.74963
2004/2/28,13:19:18,24.7316,30.6425,412.16,2.74963
2004/2/28,13:19:48,24.6924,30.6779,412.16,2.73696
2004/2/28,13:20:18,24.712,30.6779,412.16,2.76242
2004/2/28,13:20:47,24.7022,30.6071,412.16,2.74963
2004/2/28,13:21:18,24.6924,30.6071,397.44,2.74963
2004/2/28,13:21:48,24.712,30.6779,397.44,2.74963
2004/2/28,13:22:47,24.7414,30.5363,397.44,2.73696
2004/2/28,13:24:19,24.8786,30.3947,382.72,2.74963
2004/2/28,13:24:47,24.8982,30.3238,382.72,2.74963
2004/2/28,13:25:17,24.8786,30.3947,323.84,2.74963
2004/2/28,13:25:49,24.8786,30.3947,309.12,2.74963
2004/2/28,13:26:17,24.8884,30.3592,353.28,2.74963
2004/2/28,13:27:17,24.8982,30.3238,397.44,2.74963
2004/2/28,13:28:17,24.9864,30.182,368.0,2.74963
2004/2/28,13:28:49,24.9864,30.1465,397.44,2.74963
2004/2/28,13:29:19,24.9276,30.3947,412.16,2.74963
2004/2/28,13:31:47,24.8492,30.3947,368.0,2.74963
2004/2/28,13:32:17,24.8296,30.4655,368.0,2.74963
2004/2/28,13:32:47,24.8002,30.6779,368.0,2.74963
2004/2/28,13:33:47,24.712,30.6779,338.56,2.74963
2004/2/28,13:34:17,24.712,30.6779,338.56,2.73696
2004/2/28,13:39:49,24.7218,30.7133,397.44,2.74963
2004/2/28,13:40:18,24.7414,30.6071,397.44,2.74963
2004/2/28,13:41:17,24.7904,30.6071,412.16,2.74963
2004/2/28,13:41:48,24.81,30.5009,412.16,2.74963
2004/2/28,13:42:17,24.8394,30.4655,397.44,2.74963
2004/2/28,13:43:19,24.8296,30.6071,397.44,2.74963
2004/2/28,13:43:49,24.761,30.8901,397.44,2.74963
2004/2/28,13:44:17,24.81,30.5363,382.72,2.74963
2004/2/28,13:45:47,24.9178,30.3238,382.72,2.74963
2004/2/28,13:47:17,24.8198,30.5363,382.72,2.74963
2004/2/28,13:49:17,24.712,30.784,382.72,2.74963
2004/2/28,13:49:47,24.6728,30.8901,382.72,2.74963
2004/2/28,13:51:47,24.6532,30.9608,368.0,2.74963
2004/2/28,13:52:47,24.7414,30.7486,368.0,2.74963
2004/2/28,13:55:17,24.7708,30.6071,368.0,2.74963
2004/2/28,13:56:17,24.7806,30.8194,368.0,2.74963
2004/2/28,13:59:18,24.9374,30.4301,382.72,2.74963
2004/2/28,13:59:47,24.9766,30.3947,382.72,2.74963
2004/2/28,14:02:17,24.9766,30.2529,353.28,2.74963
2004/2/28,14:02:48,24.9864,30.2529,353.28,2.74963
2004/2/28,14:03:48,24.9668,30.2529,338.56,2.74963
2004/2/28,14:04:18,24.8688,30.5363,323.84,2.74963
2004/2/28,14:05:48,24.6728,30.8901,323.84,2.74963
2004/2/28,14:06:48,24.5356,31.5959,323.84,2.74963
2004/2/28,14:07:17,24.5258,30.9961,323.84,2.74963
2004/2/28,14:10:47,24.5356,31.1021,323.84,2.74963
2004/2/28,14:12:49,24.4572,31.1727,309.12,2.74963
2004/2/28,14:13:20,24.4376,31.3139,309.12,2.74963
2004/2/28,14:18:48,24.2612,31.5607,279.68,2.74963
2004/2/28,14:19:18,24.1926,31.7368,279.68,2.74963
2004/2/28,14:20:20,24.075,31.948,264.96,2.73696
2004/2/28,14:20:47,24.0456,31.8072,279.68,2.73696
2004/2/28,14:21:49,24.0456,31.8424,309.12,2.74963
2004/2/28,14:22:49,24.0358,31.8072,323.84,2.74963
2004/2/28,14:24:47,24.0162,31.948,338.56,2.74963
2004/2/28,14:25:18,23.9868,32.0183,338.56,2.73696
2004/2/28,14:26:49,23.9084,32.2293,323.84,2.74963
2004/2/28,14:28:18,23.8202,32.2995,294.4,2.73696
2004/2/28,14:28:47,23.83,32.1238,294.4,2.73696
2004/2/28,14:29:47,23.9084,31.948,279.68,2.74963
2004/2/28,14:30:19,23.8986,31.948,279.68,2.74963
2004/2/28,14:30:48,23.928,31.8424,279.68,2.73696
2004/2/28,14:33:18,23.8692,32.2293,279.68,2.73696
2004/2/28,14:34:18,23.7908,32.5102,279.68,2.73696
2004/2/28,14:35:19,23.7222,32.3698,294.4,2.73696
2004/2/28,14:36:19,23.7516,32.0887,309.12,2.73696
2004/2/28,14:36:48,23.7712,31.948,294.4,2.74963
2004/2/28,14:37:49,23.8006,31.948,294.4,2.73696
2004/2/28,14:38:17,23.8104,32.0183,294.4,2.74963
2004/2/28,14:39:19,23.7908,32.2644,309.12,2.73696
2004/2/28,14:39:47,23.7614,32.2293,309.12,2.73696
2004/2/28,14:40:17,23.7614,32.2995,309.12,2.74963
2004/2/28,14:40:49,23.7712,32.1941,294.4,2.73696
2004/2/28,14:41:17,23.7614,32.159,309.12,2.73696
2004/2/28,14:41:48,23.7516,32.2293,294.4,2.73696
2004/2/28,14:42:48,23.732,32.159,309.12,2.74963
2004/2/28,14:43:19,23.732,32.2293,294.4,2.73696
2004/2/28,14:43:47,23.6928,32.44,309.12,2.73696
2004/2/28,14:44:50,23.6634,32.5452,294.4,2.73696
2004/2/28,14:45:18,23.6536,32.6505,294.4,2.73696
2004/2/28,14:47:18,23.6144,32.5102,309.12,2.73696
2004/2/28,14:48:19,23.7026,32.2293,309.12,2.73696
2004/2/28,14:51:19,23.7614,32.5102,309.12,2.73696
2004/2/28,14:51:48,23.7712,32.5102,309.12,2.73696
2004/2/28,14:53:17,23.7614,32.159,294.4,2.74963
2004/2/28,14:53:49,23.7712,32.1238,294.4,2.73696
2004/2/28,14:54:48,23.781,32.1941,279.68,2.73696
2004/2/28,14:55:19,23.7124,32.3346,294.4,2.73696
2004/2/28,14:55:47,23.6928,32.5803,279.68,2.73696
2004/2/28,14:56:18,23.683,32.5102,279.68,2.73696
2004/2/28,14:56:48,23.7124,32.2293,279.68,2.73696
2004/2/28,14:58:49,23.732,32.0887,264.96,2.73696
2004/2/28,14:59:17,23.7516,32.1941,264.96,2.73696
2004/2/28,14:59:47,23.7712,32.0887,264.96,2.73696
2004/2/28,15:00:18,23.7712,32.1238,264.96,2.73696
2004/2/28,15:01:19,23.7026,32.44,264.96,2.73696
2004/2/28,15:01:48,23.683,32.5803,264.96,2.73696
2004/2/28,15:02:21,23.634,32.5803,264.96,2.7244
2004/2/28,15:02:48,23.6242,32.6855,250.24,2.73696
2004/2/28,15:03:48,23.634,32.3698,250.24,2.73696
2004/2/28,15:04:48,23.6732,32.3698,250.24,2.73696
2004/2/28,15:05:19,23.683,32.2995,250.24,2.73696
2004/2/28,15:05:48,23.6732,32.2995,250.24,2.73696
2004/2/28,15:06:20,23.6732,32.4049,250.24,2.73696
2004/2/28,15:06:50,23.6046,32.5452,250.24,2.73696
2004/2/28,15:07:19,23.5948,32.6154,235.52,2.73696
2004/2/28,15:07:47,23.6144,32.5102,235.52,2.74963
2004/2/28,15:08:18,23.6438,32.4049,217.12,2.73696
2004/2/28,15:08:47,23.6634,32.2995,224.48,2.73696
2004/2/28,15:09:18,23.6732,32.3698,217.12,2.74963
2004/2/28,15:09:48,23.6928,32.3698,217.12,2.74963
2004/2/28,15:10:47,23.6634,32.44,217.12,2.73696
2004/2/28,15:11:17,23.6536,32.44,224.48,2.73696
2004/2/28,15:11:48,23.6144,32.5803,224.48,2.73696
2004/2/28,15:13:49,23.5164,32.7907,235.52,2.73696
2004/2/28,15:14:48,23.4968,32.7907,235.52,2.73696
2004/2/28,15:15:18,23.4674,32.7907,235.52,2.7244
2004/2/28,15:17:18,23.438,32.7907,250.24,2.73696
2004/2/28,15:17:47,23.438,32.8257,250.24,2.74963
2004/2/28,15:18:18,23.438,32.7557,250.24,2.73696
2004/2/28,15:18:47,23.4478,32.7206,235.52,2.73696
2004/2/28,15:19:17,23.438,32.5803,235.52,2.73696
2004/2/28,15:20:19,23.4576,32.5803,235.52,2.73696
2004/2/28,15:20:48,23.4576,32.6505,235.52,2.73696
2004/2/28,15:23:49,23.3694,32.8608,250.24,2.7244
2004/2/28,15:24:18,23.3596,32.8608,250.24,2.73696
2004/2/28,15:24:50,23.3596,32.7206,235.52,2.73696
2004/2/28,15:25:17,23.3596,32.7907,235.52,2.73696
2004/2/28,15:25:47,23.34,32.7907,235.52,2.73696
2004/2/28,15:27:17,23.3106,32.7907,235.52,2.73696
2004/2/28,15:28:19,23.3302,32.9308,224.48,2.7244
2004/2/28,15:28:47,23.3204,32.9308,224.48,2.73696
2004/2/28,15:29:49,23.291,32.9308,217.12,2.73696
2004/2/28,15:30:18,23.2812,33.0009,209.76,2.73696
2004/2/28,15:30:48,23.2812,32.9659,209.76,2.73696
2004/2/28,15:31:17,23.2714,33.0009,202.4,2.7244
2004/2/28,15:31:49,23.2616,32.8958,209.76,2.73696
2004/2/28,15:32:17,23.242,32.8608,209.76,2.73696
2004/2/28,15:33:48,23.2224,32.8958,202.4,2.73696
2004/2/28,15:34:19,23.2224,32.8608,195.04,2.7244
2004/2/28,15:34:47,23.2224,32.7907,195.04,2.7244
2004/2/28,15:35:17,23.2028,32.8608,187.68,2.7244
2004/2/28,15:36:48,23.1832,32.8608,180.32,2.7244
2004/2/28,15:37:49,23.1636,32.9659,195.04,2.73696
2004/2/28,15:38:19,23.1538,33.1409,195.04,2.73696
2004/2/28,15:38:49,23.1342,33.0709,202.4,2.73696
2004/2/28,15:39:19,23.1244,33.1409,202.4,2.73696
2004/2/28,15:41:20,23.0754,33.2458,195.04,2.7244
2004/2/28,15:42:47,23.0656,33.1409,187.68,2.73696
2004/2/28,15:43:50,23.046,33.1409,180.32,2.73696
2004/2/28,15:44:17,23.0264,33.2108,172.96,2.73696
2004/2/28,15:45:19,23.0166,33.2458,172.96,2.73696
2004/2/28,15:46:20,23.0068,33.2808,180.32,2.73696
2004/2/28,15:47:49,22.9676,33.2108,180.32,2.7244
2004/2/28,15:48:18,22.9382,33.2808,180.32,2.73696
2004/2/28,15:48:48,22.899,33.2808,172.96,2.7244
2004/2/28,15:49:19,22.85,33.3507,172.96,2.73696
2004/2/28,15:49:48,22.8402,33.4905,172.96,2.7244
2004/2/28,15:50:19,22.8402,33.4905,172.96,2.73696
2004/2/28,15:50:48,22.85,33.4905,172.96,2.73696
2004/2/28,15:51:18,22.8402,33.5254,172.96,2.74963
2004/2/28,15:51:49,22.8402,33.5254,180.32,2.73696
2004/2/28,15:52:47,22.8304,33.5604,180.32,2.7244
2004/2/28,15:53:20,22.8304,33.4905,180.32,2.73696
2004/2/28,15:53:49,22.8402,33.5254,180.32,2.7244
2004/2/28,15:54:19,22.8304,33.4206,180.32,2.7244
2004/2/28,15:54:49,22.8206,33.4905,180.32,2.73696
2004/2/28,15:56:48,22.7716,33.5953,180.32,2.73696
2004/2/28,15:57:49,22.7716,33.6302,172.96,2.7244
2004/2/28,16:01:48,22.752,33.5604,172.96,2.7244
2004/2/28,16:02:18,22.7324,33.5604,165.6,2.73696
2004/2/28,16:03:18,22.6932,33.5953,172.96,2.73696
2004/2/28,16:04:17,22.6736,33.7,180.32,2.73696
2004/2/28,16:04:51,22.6736,33.7,172.96,2.73696
2004/2/28,16:05:17,22.6638,33.7,180.32,2.73696
2004/2/28,16:05:47,22.654,33.7,180.32,2.73696
2004/2/28,16:06:48,22.6344,33.7698,172.96,2.7244
2004/2/28,16:07:18,22.6246,33.8396,172.96,2.7244
2004/2/28,16:07:49,22.6148,33.8396,172.96,2.7244
2004/2/28,16:08:50,22.5854,33.9093,172.96,2.7244
2004/2/28,16:11:50,22.5168,33.979,165.6,2.7244
2004/2/28,16:12:19,22.5364,33.979,165.6,2.7244
2004/2/28,16:13:18,22.5462,33.979,165.6,2.7244
2004/2/28,16:13:47,22.5364,33.979,158.24,2.73696
2004/2/28,16:14:19,22.5266,33.979,158.24,2.73696
2004/2/28,16:15:48,22.5168,34.0139,158.24,2.7244
2004/2/28,16:16:19,22.5266,34.0487,150.88,2.73696
2004/2/28,16:16:47,22.5168,34.0487,150.88,2.7244
2004/2/28,16:17:47,22.5168,34.0139,150.88,2.7244
2004/2/28,16:18:17,22.4972,34.0487,150.88,2.7244
2004/2/28,16:19:49,22.4776,34.0139,150.88,2.7244
2004/2/28,16:21:17,22.458,34.0487,150.88,2.7244
2004/2/28,16:22:18,22.458,34.0836,150.88,2.7244
2004/2/28,16:22:48,22.458,34.1184,150.88,2.7244
2004/2/28,16:24:18,22.409,34.188,150.88,2.7244
2004/2/28,16:24:48,22.3992,34.188,150.88,2.7244
2004/2/28,16:25:17,22.3796,34.2577,150.88,2.7244
2004/2/28,16:25:48,22.36,34.2229,150.88,2.7244
2004/2/28,16:26:19,22.3404,34.2577,150.88,2.7244
2004/2/28,16:27:47,22.3208,34.3273,150.88,2.7244
2004/2/28,16:28:47,22.3012,34.3273,143.52,2.7244
2004/2/28,16:29:18,22.2816,34.3969,143.52,2.7244
2004/2/28,16:30:48,22.262,34.5012,136.16,2.7244
2004/2/28,16:31:50,22.2424,34.536,128.8,2.7244
2004/2/28,16:32:19,22.2228,34.536,128.8,2.71196
2004/2/28,16:32:50,22.2228,34.536,128.8,2.7244
2004/2/28,16:33:49,22.213,34.536,128.8,2.7244
2004/2/28,16:35:18,22.2032,34.536,128.8,2.7244
2004/2/28,16:35:48,22.1934,34.536,128.8,2.7244
2004/2/28,16:36:18,22.1836,34.536,121.44,2.7244
2004/2/28,16:36:50,22.164,34.536,121.44,2.73696
2004/2/28,16:37:21,22.164,34.536,128.8,2.7244
2004/2/28,16:39:20,22.1052,34.675,121.44,2.7244
2004/2/28,16:39:51,22.1052,34.675,128.8,2.71196
2004/2/28,16:40:50,22.066,34.7445,128.8,2.7244
2004/2/28,16:41:47,22.066,34.7445,121.44,2.7244
2004/2/28,16:42:18,22.0366,34.7792,121.44,2.7244
2004/2/28,16:42:50,22.0268,34.8487,121.44,2.7244
2004/2/28,16:43:18,22.0072,34.8834,121.44,2.7244
2004/2/28,16:44:19,21.9974,34.9181,121.44,2.7244
2004/2/28,16:45:17,21.9778,34.8834,121.44,2.71196
2004/2/28,16:45:51,21.9778,34.9181,121.44,2.7244
2004/2/28,16:46:20,21.9876,34.9181,114.08,2.73696
2004/2/28,16:46:48,21.9778,34.9181,114.08,2.7244
2004/2/28,16:48:19,21.9974,34.8834,114.08,2.7244
2004/2/28,16:48:49,21.9876,34.9181,114.08,2.7244
2004/2/28,16:49:21,21.968,34.9528,114.08,2.71196
2004/2/28,16:50:19,21.8994,35.0222,114.08,2.71196
2004/2/28,16:50:47,21.8896,35.0915,114.08,2.7244
2004/2/28,16:51:49,21.8504,35.2995,114.08,2.7244
2004/2/28,16:52:18,21.8308,35.5072,114.08,2.7244
2004/2/28,16:52:47,21.8602,35.4034,114.08,2.71196
2004/2/28,16:54:18,21.8308,35.5072,108.56,2.7244
2004/2/28,16:55:50,21.821,35.438,104.88,2.7244
2004/2/28,16:58:50,21.8112,35.4726,101.2,2.7244
2004/2/29,7:33:53,17.46,43.4191,101.2,2.66332
